,Unnamed: 0,FileName,Abstract,Summary,Precision,Recall,F1_Score,Precision_rouge2,Recall_rouge2,F1_Score_rouge2,Precision_rougel,Recall_rougel,F1_Score_rougel
0,0,S0168874X14001516," Topology optimization problem requires repeated evaluations of the objective function and design sensitivity in the design domain with various density distributions. A repeated computations in the optimization process, requires a large amount of computing time and resources. These issues have inspired the development of optimization techniques combined with a system reduction. In order to reduce the system, this study employs a system dynamic condensation method based on selected primary degrees of freedom. Based on a system reduction, this study performs a topology optimization to maximize the eigenvalue and linear summation of each eigenvalue. In the optimization procedure, mode tracking method, called MAC, is used to pursue target modes, and the design sensitivity is calculated by a method of the rigid body mode separation assuring the reliability of sensitivity regardless of the design variable perturbation size. Each result of the numerical examples based on the reduction system is compared to that of the full system. Through a few numerical examples, it is demonstrated that the proposed method can provide efficient and reliable results in topology optimization. ","Traditionally, the size and shape optimization has been the main stream in the structural optimization field. The definition of topology in mathematics stands for the invariant of spatial one-to-one mapping, which is continuous and includes the inverse mapping. developed topology optimization to minimize compliance in static problems [13]. Then, topology optimization for maximizing eigen-frequency has been studied by Ma and Kikuchi [4,5]. The optimization process of eigen-frequency needs many repeated analyses in dynamic problems. We propose for the first time a methodology of topology optimization combined with the dynamic condensation system. The reduction system has been applied to various research fields, such as eigenvalue analysis, sub-structuring schemes and structural optimization based on sub-domain [911]. Section 2 briefly introduces the construction of the reduction system based on the PDOFs. Section 5 presents the maximization of the eigen-frequencies of a beam and plate by the proposed optimization method. In the first step, the scheme selects the candidate area by Rayleigh energy ratio. In the second step, the sequential elimination method (SEM) [12] is applied to determine the final PDOFs. In the first step, in which the candidate regions for PDOFs are selected, the modified Rayleigh quotient considering the density of elements is evaluated to consider the void element in topology optimization. To obtain the Ritz vectors, an initial static vector                                {                                                                                                      x                                                                                                         1                                                                                                                                                                                                         }                             is calculated by static analysis as Eq. ( {                                                                                                      z                                                                                                         j                                                                                                         i                                                                                                }                             is the components connected with jth element in the ith Ritz vector. After removing SDOFs, the reduction system is obtained as Eq. ( Even if the homogenization design method has an advantage, which is relaxation of the concept and domain in the continuum field, it is hard to implement the computational program. On the other hand, because SIMP has the same essence as the homogenization design method: It is easy to implement the computational program. 10),                                                      j                          and w                                                     j                          denote the squares of the target eigenvalue and the corresponding weighting factors, respectively. If the value of the MAC is close to around 1, that means that {                                                     can                         } exactly satisfies the eigenmode shape of {                                                     ref                         }. The first term of the right side is the sensitivity of the eigenvalue regarding the design variable                                                e                      . Moreover, it would be highly efficient to employ the reduced system approach in a large-scaled eigenvalue problem [9]. 12) with respect to a design variable v, the sensitivity of the eigenvalue is given as Eq. ( This example maximizes the first eigenvalue and the second eigenvalue of the beam, respectively. The selected DOFs obtained from the second step are presented in Fig. The sensitivity of the eigenvalue is calculated by the ISAM which separates the rigid body mode from the vector field as evaluated in Section 4. It can be confirmed that the MAC value is located near 1.0 which means a high correlation during the whole 30th iteration. 9 shows the candidate area and PDOFs every 5-iteration when the second eigenvalue is to be maximized. Thus, the weighting factors are defined as w                            1=1.0, w                            2=0.4. After that, the reduced system based on IRS is constructed with the selected PDOFs. Compared to a full system, the reduction system can guarantee the same result of topology optimization as the full system does. Through the 60th iteration, the final optimal configuration is converged as shown in                             Fig. As a result, the proposed method provides a reliable result of topology optimization compared to that of a full system and saves the computing time due to the efficiency of the reduced system. In conclusion, the present study suggested a new topology optimization combined with a reduction method. Through numerical examples, it was demonstrated that the proposed method gives reliable optimization results and shows the efficiency in time cost compared to a full system. ACKNOWLEDGMENT   This work was supported by the National Research Foundation of Korea (NRF) grant funded by the Korea government (MSIP) (No.",0.7548441449031171,0.165466297322253,0.2714338696278578,0.06909090909090909,0.2360248447204969,0.10689169832509443,0.15946843853820597,0.46153846153846156,0.23703703322005792
1,1,S0168874X14001528," Accuracy and efficiency are significant factors in wave propagation and load identification of mechanical structure. By introducing modified Hermitian cubic spline wavelets on interval (HCSWI), a multi-scale wavelet-based numerical method is proposed. The present method can avoid the boundary problem of the original Hermitian interpolation wavelet. A modified Hermitian interpolation wavelet base can get transformation matrix, so the modified Hermitian wavelet finite element is proposed in this paper. Positive question-wave propagation and inverse question-load identification is verified by this means. The modified Hermitian wavelet finite element involves wave propagation and load identification in rod and Timoshenko beam which are obtained and then compared with results calculated by traditional finite element method (TFEM) and B-spline wavelet on interval (BSWI) finite element. The results indicate that the present method for wave propagation and load identification has higher precision and costs less time on mechanical structure. ","Wave propagation and load identification are the key subjects of intensive investigations in mechanical engineering over the years [1,2]. Thus, accuracy and efficiency are importantly and greatly required for finite element techniques when they are used in high frequency wave propagation simulation [9]. Gupta presented a time domain technique for estimating dynamic loads acting on a structure from strain time response [18]. In the present work, an effective wavelet numerical method is proposed based on wavelet bases of modified Hermitian cubic spline wavelets on interval [26] to analyze wave propagation and load identification of rod and beam. Clearly, both                       1 and                       2 belong to C                      1(R). The above-mentioned wavelets can generate a wavelet basis for the space                                                                                     H                                                                                       0                                                                                       1                                                                              (                         0                         ,                         1                         )                      . Besides that the first derivative of HCSWI is continuity, it is more suitable for analysis of beam, plate, etc. These features make HCSWI as a finite element interpolation function better than that of BSWI. 11); superscript p is the step number of time; and t stands for the time interval from the p1 step to the p step. 14) can be solved by interpolating u, u()=T                                                     e                                                  u                                                     e                         . The physical DOFs column vector of HCSWI axial rod element is shown in                          Fig. 8 shows the lifting scheme for the wavelet based numerical method. V                      1 is the initial scaling function space and W                                               l1(l=1, 2, j1) is the wavelet space. 31), only the sub-matrices C                                               x,y                      , (x=                      1                      ,,                                               j1; y=                                               l                      )will be calculated when the scale l is lifted to l+1 and other sub-matrices will be preserved. The dimensions of rods are as follows: length 1m, height 0.02m and width 0.02m, and the dimensions of beams are as follows:length 1m, height 0.06m and width 0.06m. 30 HCSWI wavelet elements at level j=1, 2, 3; 30 BSWI elements and 600 TFEM are adopted respectively. The results of scale at j=3 of HCSWI elements are close to that of 600 TFEM. The process is consistent with the actual process of wave propagation [5]. The second wave is propagated over the respond by the excitation signal at the middle side. 13(a) shows the left side wave propagation of rod with different scales of HCSWI. 13(b) shows the left side wave propagation of rod with 30 HCSWI elements, 30 BSWI elements and 600 TFEM, 30 HCSWI elements with j=3 have higher precision than that of BSWI elements in 4 order 3 scale of rod. The first wave propagation spread continuously from left to right, when it reaches the rod fixed end reversely. 16 shows the responses of different methods compared with Timoshenko beam on the left side and on the middle side, which is loaded on the left side and the middle at the same time. 30 HCSWI elements with j=3 have higher precision than that of BSWI elements in 4 order 3 scale of rod. A rod or Timoshenko beam model is divided into 30 HCSWI rod or beam elements, the actuation point locates at the left end with a sinusoidal signal with frequency 100kHz modulated by Hanning window and the actuation point locates at the middle with a sinc function form of wave with frequency 100kHz modulated of axial rod or Timoshenko beam. As the scale ascension of HCSWI, the precision of load identification is higher than that of low scale of HCSWI. Compared with the 600 TFEM, the accuracy of 30 HCSWI elements with j=3 is close to that of 600 TFEM, but time consumption is less than that of TFEM. The result of 30 HCSWI elements with j=3 is close to that of the exact solution. 20(b) shows the left side load identification of rod with 30 HCSWI elements, 30 BSWI elements and 600 TFEM. The precision of load identification is higher than that of low scale of HCSWI, as the scale ascension of HCSWI. HCSWI has the good performance of the lifting scheme observed when the wavelets are added step by step to realize multi-scale approximation of the rod and beam, but the ascending scale way of BSWI is more complex. It has vital significance in engineering that after correction, the FEM can identify the immeasurable load. Table 6 shows the left side and the middle side load identification error and time consumption of beam with different methods when the signal to noise ratio is 240dB. This table also indicates the increase of noise makes finite elements ability is reduced to identify load. Compared with BSWI, HCSWI has the prominent advantage of improving precision by adding the appropriate wavelet function, but the BSWI is formed to recalculate the function to improve the precision of the new scales from the original scale function. ACKNOWLEDGMENTS   This paper was supported by the National Natural Science Foundation of China (Nos. 51225501 and 51175401), the Research Fund for the Doctoral Program of Higher Education of China (No.",0.8,0.1477312697854379,0.2494071494558461,0.045454545454545456,0.23333333333333334,0.07608695379253318,0.1476923076923077,0.5783132530120482,0.2352941144061179
2,2,S0168874X14001413," The topic of the paper is related to the macroscopic modelling of riveted assemblies for full-scale aircraft structures subjected to crash/impact loadings. Super-elements have been developed to model the rivet and its rupture. However, stress concentrations in riveted assemblies can also initiate cracks from hole boundaries that propagate to the next ones and can lead to the catastrophic loss of the airplane by dismantlement of structural parts. An hybrid-Trefftz perforated super-element has been previously developed by the authors. However, the hole boundary of this super-element is a traction-free analytical boundary, preventing any connection with rivet elements. As a necessary first step to make the connection with the rivet possible, it is proposed to formulate additional nodes on the hole boundary of the perforated super-element. However, increasing the number of nodes implies increasing the super-element interpolation functions series order. Their ability to accurately describe the strain and stress fields is evaluated. It is found that when the series order is increased, the mechanical fields are still well described, but are a little less accurate than lower order interpolation functions. This evolution is discussed and seems to be linked to the ill-conditioning of the system. The accuracy is however still sufficient for the formulation of a 16-node super-element featuring eight nodes on the hole boundary. ","Finite element analysis (FEA) of airframe under high velocity impacts hardly succeeds in representing the failure of the structure when it occurs in riveted joint areas. Most of the above-mentioned elements featuring geometrical discontinuities are hybrid-Trefftz displacement finite elements because, with this approach, complex mechanical fields near the defect can be represented without the need to mesh finely the area. Some of the authors of this paper developed a hybrid-Trefftz super-element featuring a hole to improve the riveted joints modelling [8]. Given that a higher order has to be used in the Laurent series, close attention is paid to evaluate the accuracy of the interpolation functions. Finally, the main features of the interpolation functions are discussed. The perforated super-element [8] is based on a hybrid-Trefftz displacement variational principle [28]. The boundaries S                                                     u                          and S                                                     t                          represent the prescribed displacement boundary and the prescribed traction boundary, respectively. The interpolation functions of this super-element comes from KolosovMuskhelishvilis formalism [19] to take account of the influence of the hole within the element. For the sake of conciseness, the perforated plate analytical solution calculated thanks to KolosovMuskhelishvilis formalism will be simply denoted KM solution in the forthcoming sections of the paper. This minimum number does not always guarantee a stiffness matrix with full rank. 1                         (a)), and to 8 for a 16-node perforated element (Fig. It has been shown that increasing the number of nodes means increasing the order of truncation of the series appearing in the interpolation functions of the super-element. 1(b)), it is proposed to study the interpolation functions associated with this super-element. The presented study assesses, more generally, these interpolation functions according to the series order. METHODOLOGY   The methodology presented in this section has already been used to study the interpolation functions of an existing 8-node super-element in which series are truncated to                             N                            =                            M                            =                            4                                                   [8]. Finally, the studied parameters are:                                                                                          The load case: uniaxial tension, biaxial tension, pure shear, simple shear. 8) set up a relationship between the number of parameters and the number of element nodes, it is at least necessary to collect data in eight points for                             N                            =                            M                            =                            4                         , and 16 points for                             N                            =                            M                            =                            8                         . Firstly, one can notice that, whatever the studied configuration for series truncated at order 4, the accuracy does not decrease (Table 1). This configuration is the less accurate among all those studied. It has been verified that changing the position of the data points around the perforation has no influence on the accuracy of the KM solution. Indeed, another analysis has been done with data points on the perforation rotated with an angle of                                                         /                            8                         , for example, and results obtained at order 8 for the configuration                             {                            8                            /                            8                            /                            8                            }                          are similar to those obtained previously (Table 1). The analytical expression of x-displacement, for example, for the three above-mentioned load cases is thus given by Eqs. ( The value of the condition number of the matrix                                                                                     A                                                                                       ls                                                                            is given in Table 3                       according to each configuration. The worst results are obtained for the configuration where data points are collected on the hole boundary (i.e., the configuration                          {                         8                         /                         8                         /                         8                         }                      ), which is the most interesting configuration for our problem. This phenomenon of sensitivity has already been subject of discussion in the literature, and has also been observed in recent works for Airy stress functions, but it has never been established for KM functions. Therefore, the theoretical formulation of a 16-node perforated super-element featuring eight nodes on its perforation (i.e., the variational principle and the stiffness matrix) will be presented in a future paper. The next step will consist in modelling the interaction between the fastener model and the perforated super-element. ACKNOWLEDGEMENTS   The present research work has been supported by the International Campus on Safety and Intermodality in Transportation, the Nord-Pas-de-Calais Region, the European Community, the Regional Delegation for Research and Technology, the Ministry of Higher Education and Research, and the National Center for Scientific Research. The authors gratefully acknowledge the support of these institutions.",0.7076388888888889,0.1720702465383316,0.2768279177305819,0.0627177700348432,0.18652849740932642,0.09387222569920581,0.17777777777777778,0.4444444444444444,0.25396824988662137
3,3,S0168874X14001437," Automotive door sealing system isolates passenger compartment from water, dust and wind noise. It has the most direct influences on door-closing performance, which is determined by cross-section design in terms of its appropriate Compression Load Deflection (CLD) property. Traditional sealing structure has uniform geometrical cross-section. It has the shortcomings of bad fitting in corner parts with large curvatures, causing inaccurate door-closing effort design. Regarding the door panels complex 3D profile, numerical analysis and optimal design for new sealing with variable cross-section are developed in this paper. Firstly, the whole sealing is partitioned into several parts. For four nearly straight segments, conventional 2D numerical analysis can still be used to obtain desired geometrical configuration. For other four curved corner parts with large curvatures, 3D numerical analysis of door closing is applied. Secondly, 2D geometrical cross-section optimization is proposed. Instead of three variables in previous research, five variables are selected for featuring cross-section geometry and used for next CAD reconstruction with more precision. After comparison between Back Propagation (BP) neural network and the Kriging surrogate model, BP neural network which performs better and efficient in this automotive design optimization field is applied for extracting nonlinear mapping between five cross-section parameters and compression load, which were parallely optimized by Genetic Algorithm (GA) and its efficiency and accuracy are compared with another evolutionary algorithm of Particle Swarm Optimization (PSO). Thirdly, 3D numerical modeling of four curved corner parts closing process is realized, of which twisting and bending effects during seal assembly are taken into account, thus minimizing theoretical error and producing more realistic solution. Consequently, the desired geometrical configurations for both straight parts and corner parts satisfying designated CLD property can be obtained and the whole sealing can be achieved with variable cross-section, resulting in an ideal door closing effort. Finally, a Matlab-based platform has been developed to assist the design and optimization process. Experiment and case study indicates that it provides an effective method for new door sealing design with variable cross-section. ","Automotive door seals are installed in narrow gaps between door and body frame along the perimeters of the opening panels, as shown in                       Fig. However, better door-closing performance requires the opposite conditions [6]. For instance, 2D cross-section of the door seal is modeled and analyzed, making extraction of the reaction force and contact area conveniently [9]. Door seal is generally in the form of dual extrusion bulbs of metalloid sponge and dense rubber. Consequently, more cross-section geometrical parameters are required. Secondly, combination of experiment and numerical analysis is used to identify the hyper-elastic material model of door seal rubber. Thirdly, it solved the problem of cross-sections geometrical configuration and optimal variable selection. Based on Genetic Algorithm, cross-section parameters are parallely optimized. New door sealing needs variable cross-section so that it can bring about change in the CLD curve at different locations, thus satisfying the desired different compression loads and seal qualities. The whole sealing compression load required by good door seal performance is then distributed into each part. For four corner parts with large curvatures, 3D numerical analysis of door closing is applied, considering the bending and twisting effect caused by large curvatures and the pre-load effect of door sealing assembly process. Door seals use Ethylene Propylene Diene Monomer (EPDM) sponge rubber. The testing process is shown in                          Fig. i                                                                                     are the principal stretch ratios. In terms of appropriate CLD property according to the distributed sealing compression load, geometrical parameters of four straight segments cross section need to be designed and optimized. In order to establish the implicit relationship between the section parameters and the CLD property, BP neural network is adopted to extract the highly nonlinear mapping mechanism with the help of Design Of Experiments (DOE) to provide sufficient training samples. Conventional method uses three simple variables of cross section height, rubber thickness and annulus diameter to describe seal cross-section. Five variables of angle , angle , distance d, associated with other two thickness variables, are proposed in this paper, as shown in Fig. Because of the irregular shape and hyper-elastic rubber material of door sealing, there exists strong nonlinear mapping mechanism between its input geometrical variables and output compression load, which are difficult to be expressed by the traditional explicit way. BP neural network needs sufficient training and learning samples. With the Design Of Experiments methods, the input of cross-section parameters is grouped as five variables and five levels, as shown in                             Table 2; orthogonal table is used to arrange the experiment samples and 25 groups of samples are numerically analyzed to obtain the output values of F                            1, F                            2, and F                            3. The upper fixture simulated the door sheet metal, while lower fixture as body frame metal. A three layers BP neural network is established to model the implicit mapping mechanism using large quantity of training samples learning. The number of the neurons of the hidden layer is chosen as 18, and other parameters are listed as the above content. It can be seen that the Kriging results match the simulated values a little better; however it is time consuming to choose a proper value for theta0, lob and upb, which means less efficient than BP neural network. The optimization efficiency is evaluated by the average fitness concluded from 50 calculations, and the comparative results indicate that GA can obtain a better average fitness as shown in                             Table 7, which means that GA performs a little better than PSO. The comparison of an optimal result and the original section size is shown in                             Table 9 and its corresponding compression load values are seen in                             Table 10. It can be seen that the rib structure matches the profile of upper panel perfectly. 20 illustrates the simulated results of the B-pillar seal with length of 82.24mm. Meanwhile, the dynamic compression load versus the door closing angle is extracted, as shown in                          Fig. 23 and 24 show its application for an engineering case study. 51275359), Project of Shanghai Key Laboratory of Digital Manufacture for Thin-walled Structures project (No.",0.5983952702702703,0.3044692737430167,0.403589676461151,0.07142857142857142,0.13953488372093023,0.0944881844974892,0.24561403508771928,0.4307692307692308,0.3128491573858494
4,4,S0168874X14001425," Multi-scale finite element (FE) modeling and analysis of engineering structures have become very necessary in order to provide both global and local structural information for a comprehensive assessment of structural safety. The multi-scale FE modeling needs FE coupling methods to combine mixed-dimensional finite elements, such as beam-to-shell and plate-to-solid, in a single structural model. This paper presents a new mixed-dimensional FE coupling method that can achieve both displacement compatibility and stress equilibrium at the interface between the different element types. The principle of virtual work is first used to derive both linear force and displacement constraint equations for the interface. A numerical method compatible with commercial FE codes is developed to figure out the linear constraint equations which satisfy both displacement compatibility and stress equilibrium conditions at the interface. The proposed coupling method is then extended to nonlinear mixed-dimensional FE coupling problems. Finally, the proposed coupling method is applied to a number of test cases including linear beam-to-plate, beam-to-shell and beam-to-solid interface problems, a linear frame structure, and a beam-to-shell buckling problem. The obtained results are also compared with those from the existing methods. It reveals that the proposed coupling method can handle both linear and nonlinear mixed-dimensional FE coupling problems more accurately than the existing methods and that it can be applied to a structure satisfactorily for multi-scale simulation. ","Finite element (FE) modeling and analysis of an engineering structure nowadays are a common practice to understand structural behavior and assess structural safety. Since different types of elements (beam, plate, shell, and solid) have different number of degrees-of-freedom (DOFs), the multi-scale FE simulation needs a rational FE coupling method to combine mixed-dimensional finite elements at their interfaces into a single structural model. Broadly speaking, there are two major coupling methods currently available: volume coupling and surface coupling [5]. The Arlequin method is best suited for coupling different physical models such as continuum particles [7,8] among others. In surfacing coupling, there is no overlapping of different models and different models can be coupled using one of the following methods: (a) Lagrange multiplier method; (b) penalty method; (c) transition element method; and (d) multipoint constraint (MPC) method. The MPC method is an attractive coupling method for coupling mixed-dimensional elements by using constraint equations for nodal displacements at the interface. For instance, the RBE3 MPC method provided in ANSYS code [20] can automatically establish constraint equations for coupling the different types of elements. The elimination scheme enforces the MPC method by eliminating dependent DOFs. Although the deformable MPC method seems more rational and effective, inaccurate constraint equations due to inappropriate stress distribution assumptions may result in stress disturbance at the interface. The proposed coupling method is then extended to nonlinear mixed-dimensional FE coupling problems. To validate the proposed coupling method, a number of finite element test cases are finally examined. 2, is used to illustrate how the constraint equations can achieve both displacement compatibility and stress equilibrium at the interface. For any arbitrary interface coupling, the sum of virtual work done by the corresponding forces at the interface of the two types of elements shall be zero. The coefficient matrix                                                                                     C                                                        T                                                of the force constraint equation can be regarded as a distribution matrix to distribute the forces or moment at the node of the beam to the nodes of the plate at the interface. The nodal force model is formed by repeating the substructure with the same mesh and element type, as shown in                          Fig. Then, the iteration process will guarantee the accuracy of the coefficient matrix of the constraint equation without end effects. The rigid connection is a type of MPC which defines a rigid area at the section of plate. The constraint equations are then transformed to a global CS for solution. Therefore, the nonlinear constraint equations for the interface are caused by the material and geometrical nonlinearity and the transformation of coordinates from a local CS to a global CS. The transformation of the coordinate systems is illustrated in Fig. 7 for interface coupling of the L shape member which is modeled as beam elements and shell elements. The relationship between the coefficient matrices of the nonlinear force and displacement constraint equations for the interface is derived in this section. Use the constraint equation in the initial configuration to calculate the response of the system. 15) to calculate the coefficient matrix                                                                                                                         D                                                                                                                           t                                                                                                                                                           of the constraint equation in the current configuration in the global coordinate system. This requires that material nonlinearity does not occur at the coupling interface. These cases include linear beam-to-plate, beam-to-shell and beam-to-solid coupling problems, a linear frame structure for linear structural multi-scale simulation, and a beam-to-shell buckling problem for nonlinear mixed-dimensional FE coupling. The length of the cantilever is 320mm and its cross section is 40mm high and 8mm wide. For the proposed method, the nodal shear forces at the interface are consistent with the nodal shear forces at the internal section. The shear stress contours of the plate model are shown in                          Fig. 12, is used as a numerical example for detailed calculation and discussion of the linear beam-to-shell coupling problem. 13 by using shell element 181 in ANSYS for the middle part of the cantilever and beam element 188 for other parts of the cantilever. For comparison purpose, the cantilever is also entirely modeled by shell elements, which can be taken as one for the exact solution. The stresses of the cantilever are calculated for a concentrated force acting at the left end of the cantilever as shown in Fig. The results from the proposed method are almost the same as the results from the pure shell model. It can be seen that the stress results obtained from the proposed method have no stress disturbance and they are almost the same as the results from the pure shell model. The maximum Von Mises stress from the proposed method, the McCune method and the RBE3 method are 128.966, 132.184 and 236.746N/cm2, respectively. The proposed method, the McCune method and the RBE3 method all are used to calculate the deflections and stresses of the cantilever. For the cantilever of a box cross-section, the deflection results from the proposed method and the McCune method have the same accuracy with a relative error of 0.345%. For the maximum Von Mises stress, the relative errors of the proposed method and the McCune method are 0.000% and 0.580%, respectively. However, the stress results from RBE3 are not accurate with serious stress disturbance. 30 shows a frame structure constructed by one beam and two columns of I cross-section. The frame structure is also modeled with the pure beam element for additional comparison. The Von Mises stress contours of the connection part of the frame structure obtained from different methods are shown in                                                                                                     Figs. 37 displays the loaddisplacement curve at the loading point in the z-direction. The peak loads are 2138.1, 2137.6, 2139.5 and 2139.3N obtained by the proposed method, the distributing coupling method, the pure shell model and the pure beam model, respectively. It can be seen that all the predicted peak loads are similar. However, the loading result from the beam model is slightly larger than that from the pure shell model. A numerical method compatible with commercial FE codes has been developed to figure out the linear and nonlinear constraint equations which satisfy both displacement compatibility and stress equilibrium conditions at the interface. ACKNOWLEDGMENTS   The work described in this paper is financially supported by the Hong Kong Research Grants Council through its competitive grant (PolyU5289/12E) and by the Natural Science Foundation of China through its key research program (NSFC 50830203).",0.8311111111111111,0.1760591795561533,0.2905670088861091,0.11097256857855362,0.46596858638743455,0.17925478037740522,0.22613065326633167,0.7377049180327869,0.3461538425624261
5,5,S0168874X14001541," Bridging domain method (BDM) is a multiscale method which couples molecular dynamics (MD) with finite element simulations. In this paper, using numerical study we show that time integration step size and the discretization of Lagrange multipliers can highly impact the capability of BDM in removing spurious reflections. We present a technique to enhance the performance of bridging domain method and to alleviate the effects of the two aforementioned factors on the BDM. In our technique, the total displacement field of the atoms located in the overlapping zone is decomposed into a coarse and a fine field. The equations of motion of fine scale oscillations are first obtained and then modified to include a damping term. The damping condition effectively filters out and removes the fine scale oscillations that cannot pass into the continuum domain; hence eliminates the spurious wave reflections. Using numerical examples, we show that the proposed enhancement significantly improves the performance of bridging domain method. This is specially significant when discontinuities such as cracks are present in the domain or when the integration time step is small. ","Molecular dynamics simulations provide vast amount of information about material behavior at nanoscale. Coupled atomistic-continuum methods have been introduced as a remedy to this limitation. This method has been used for modeling cracks and defects in graphene and carbon nanotubes [9,10,29,30] and has been combined with extended finite element method (XFEM) [31] to study crack propagation and dislocation emission in nanomaterials [32,33]. In this method, the total displacement field of atoms located in the overlapping zone is decomposed into a fine and a coarse scale displacement field. The formulation of the new enhancement is presented in Section 4. In this paper, the superscripts A, C, and B identify the variables associated with the atomistic, continuum, and bridging subdomains respectively. The compatibility of deformation between atomistic and continuum domain in the overlapping zone can be imposed in different ways [9,10,36,37]. To find Lagrange multipliers we use predicted displacements from Eqs. ( 3) After finding the Lagrange multipliers, the predicted atomistic and finite element fields will be corrected by considering the Lagrange multiplier forces in Eqs. ( These steps can be repeated until the displacement fields and Lagrange multipliers (                            d                            ,                            u                          and                                                      ) converge. In the bridging domain method the compatibility of displacements between atomistic and continuum domains in the overlapping domain is enforced using Lagrange multipliers, as described in Section 2. This form of approximation imposes a strict displacement compatibility between atomistic and continuum and is the form we will refer to as BDM-strict throughout this paper, (2) Lagrange multipliers are discretized by the same mesh as the FE-mesh i.e. each FE-node in the bridging subdomain coincides a -node. Furthermore, when discontinuities are available in the overlapping zone, the displacement compatibility should be enforced weakly to allow crack surface relaxation [32]. The problem is solved using both diagonalized and consistent constraint matrix employing a small (                                                        t                            =                            0.00025                                                  ps) and a large (                                                        t                            =                            0.002                                                  ps) integration time step. To obtain the reference solution, and for the sake of comparison, the problem is also solved using full MD description for the entire domain. 4a and b show that when consistent constraint matrix is employed, the Hamiltonian of the entire system remains constant and the Hamiltonian of atomistic zone does not go to zero. The wave coarse components have traveled into the continuum domain and the high frequency components are eliminated, as is shown in Fig. To resolve the two above-mentioned issues, we propose an enhanced bridging domain method (EBDM). For this purpose, we obtain the equations of motion of fine scale oscillations and modify it to include a damping term. This idea was later used to develop other multiscale methods such as perfectly matched multiscale method [40]. 2), and                                                                                              C                                                                                                                                                                                     is a user-defined parameter. Using this approximation, very little spurious reflections are developed near                                                                                                                                                                                              C                                                                                    , and the fine scale displacements are effectively eliminated. Also, we solve the problem using both displacement constraint of Eq. ( These plots also confirm that regardless of the size of the overlapping domain, standard BDM methods are more successful in removing spurious reflections when the integration time step is large. The enhancement in the performance is more significant when the overlapping length size is small (n                                                     b                         =1). For this problem, we use =0.467eV and =0.2296nm which leads to an equilibrium bond length of r                         0=0.2577nm of the triangular lattice. The initial geometry and boundary conditions of the domain are shown in Fig. The entire domain dimensions are 63.02nm60.49nm and the initial crack length is 10nm. The number of broken bonds of the pure MD zone versus time is shown in Fig. However, when standard BMD methods are employed to model crack growth, the initial crack does not grow, instead atomic bonds break at the interface of continuum and overlapping zone, leading to the generation of new cracks along                                                                                                                                                                                              A                                                                                    . By increasing the size of overlapping zone, the crack growth path obtained from standard BDM approaches that of pure MD, however this example clearly shows that EBDM is more efficient in modeling problems involving discontinuities. 8 is used to prescribe both tensile and shear components of the external loading. 16a                          and b. These figures clearly show that if the overlapping width L                                                     B                          is small, only EBDM is able to predict the crack path correctly. The key contribution of the paper is proposing a new technique to enhance the performance of bridging domain method in eliminating the spurious wave reflections at the interface of atomistic and continuum domain. The fine scale oscillations correspond to the small wavelength (high frequency) components of the wave and need to be eliminated. Our numerical results showed that the proposed enhancement significantly improves the capability of the bridging domain method in removing the spurious reflections.",0.8051282051282052,0.1440587245756232,0.2443906486592755,0.10619469026548672,0.4311377245508982,0.1704141980119464,0.2,0.6607142857142857,0.30705393834128203
